section,donor,modality,metric,layer_eta_squared,morans_i,spearman_total_umi,spearman_detected_genes,mean,sd,method_label
151672,donor_2,alt_depth,nonzero_features,0.3440752042992474,0.5132474923784855,0.9695571075015262,0.9738396357819646,166.7229938271605,84.76331830290816,ALT depth
151672,donor_2,projected_expression,nonzero_features,0.4418715907676636,0.6174531979749931,0.987766250256593,0.99754987466787,1304.3168724279835,480.4289400778146,Projected expression
151673,donor_3,matched_presence,nonzero_features,0.239664744704253,0.6197377908421504,0.9767579354839032,0.9742342771815508,400.4400443090557,182.57523175532424,Matched presence
151673,donor_3,total_depth,nonzero_features,0.2335188519204947,0.6083989989494372,0.9744716562066432,0.97383881977601,271.6244807532539,128.92876575723778,Total depth
151673,donor_3,ref_depth,nonzero_features,0.2143285597255859,0.5905275736757919,0.9614143647685532,0.9616357289119576,99.39185821102188,49.50486640180869,REF depth
151673,donor_3,alt_depth,nonzero_features,0.230283012257746,0.6038008557773226,0.9715980124092066,0.9703185314886338,203.3370257546386,101.22067061335596,ALT depth
151673,donor_3,projected_expression,nonzero_features,0.2901114960530857,0.6294669806660603,0.9919301181814596,0.9971521662896764,1667.8565494322902,568.6521188393511,Projected expression
151674,donor_3,matched_presence,nonzero_features,0.2859869850830865,0.6491204309591849,0.973053580748163,0.9664674005811952,574.2618982118295,250.60189150434945,Matched presence
151674,donor_3,total_depth,nonzero_features,0.2764881320708314,0.6403889472288435,0.9740358223982032,0.9702693340274634,339.65942228335626,153.1114780873307,Total depth
151674,donor_3,ref_depth,nonzero_features,0.2557135585648938,0.6182507624778031,0.9658707754196004,0.9638088949569094,126.10453920220084,59.8537425905152,REF depth
151674,donor_3,alt_depth,nonzero_features,0.2766695949349861,0.6384024160142997,0.9705789239568894,0.9657706955959868,254.74470426409903,121.50744944706013,ALT depth
151674,donor_3,projected_expression,nonzero_features,0.3060633511335642,0.649809190251948,0.9918643362070128,0.9964624180801012,2073.7617606602475,614.3960677863612,Projected expression
151675,donor_3,matched_presence,nonzero_features,0.2745108528575225,0.6583162234049742,0.975767383874722,0.973848455415085,305.11749859786875,162.5304835880625,Matched presence
151675,donor_3,total_depth,nonzero_features,0.2662403767115792,0.6474953270770452,0.9746212545644216,0.9749619878403885,210.69433538979249,117.12896912455687,Total depth
151675,donor_3,ref_depth,nonzero_features,0.2467388083450389,0.6251860605666864,0.9602462364118132,0.9620483059491414,75.89876612450925,44.04742528576226,REF depth
151675,donor_3,alt_depth,nonzero_features,0.2642865253552882,0.644651492951714,0.9718005135368056,0.9715144858930752,156.24088614694335,91.2878108400242,ALT depth
151675,donor_3,projected_expression,nonzero_features,0.2892770025582287,0.6347542280962712,0.991579779318974,0.9977491808934742,1337.9231632080762,514.4580148657925,Projected expression
151676,donor_3,matched_presence,nonzero_features,0.2471271446598523,0.616996197451949,0.9741692279438832,0.9653752340084956,349.3867677062081,164.90115545211174,Matched presence
151676,donor_3,total_depth,nonzero_features,0.2319917349186278,0.6076305725206331,0.9732449047994298,0.96744090127632,224.83124453512096,111.91836046201942,Total depth
151676,donor_3,ref_depth,nonzero_features,0.2151105618196145,0.5887203920417147,0.9597706429967954,0.9562585574164254,80.52579422908772,42.35840151288208,REF depth
151676,donor_3,alt_depth,nonzero_features,0.2334722334873985,0.6038911966603518,0.9688442897854654,0.9618849142832964,167.54065870008745,87.54856599169612,ALT depth
151676,donor_3,projected_expression,nonzero_features,0.1995757182862142,0.6132881528572575,0.9885071242765242,0.9972983714716732,1456.06208102594,495.1745246909098,Projected expression
